416464000,2017-01-01T00:19:05,42.33867,-70.23950,8.2,-135.6,271.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
338075892,2017-01-01T00:03:34,43.65323,-70.25301,0.0,-81.3,511.0,PILOT BOAT SPRING PT,,WDB8945,90,under way using engine,0,0,0.0,90
367327330,2017-01-01T00:03:34,41.65037,-70.27690,0.0,129.0,173.0,KATAMA,IMO8213237,WBP4751,1012,moored,71.63,12.2,3.8,
416464000,2017-01-01T00:03:44,42.33667,-70.19267,8.0,-135.6,267.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
338075892,2017-01-01T00:11:55,43.65322,-70.25303,0.0,-81.8,511.0,PILOT BOAT SPRING PT,,WDB8945,90,under way using engine,0,0,0.0,90
416464000,2017-01-01T00:07:14,42.33717,-70.20333,8.1,-137.6,267.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
416464000,2017-01-01T00:08:34,42.33733,-70.20733,8.1,-136.6,267.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
367344360,2017-01-01T00:19:38,44.45159,-68.89684,0.0,-54.2,511.0,FORT POINT,,WDE3797,31,under way using engine,15,25,4.0,31
416464000,2017-01-01T00:12:04,42.33767,-70.21800,8.3,-136.6,267.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
338075893,2017-01-01T00:02:30,43.56787,-70.13265,9.2,122.9,511.0,PORTLAND PILOT,,,1005,undefined,18.32,5.5,,0
416464000,2017-01-01T00:14:24,42.33804,-70.22516,8.2,-135.6,268.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
338075893,2017-01-01T00:04:50,43.56459,-70.12526,9.4,123.4,511.0,PORTLAND PILOT,,,1005,undefined,18.32,5.5,,0
367327330,2017-01-01T00:15:37,41.65037,-70.27690,0.1,126.0,173.0,KATAMA,IMO8213237,WBP4751,1012,moored,71.63,12.2,3.8,
367375970,2017-01-01T00:07:00,44.12642,-68.87331,0.0,-106.8,21.0,CAPTAIN NEAL BURGESS,IMO9065235,WDE6115,1012,undefined,39.62,10.97,3.0,
338075893,2017-01-01T00:08:11,43.55960,-70.11487,10.0,119.2,511.0,PORTLAND PILOT,,,1005,undefined,18.32,5.5,,0
367375970,2017-01-01T00:09:20,44.12641,-68.87329,0.0,-51.9,22.0,CAPTAIN NEAL BURGESS,IMO9065235,WDE6115,1012,undefined,39.62,10.97,3.0,
367327330,2017-01-01T00:00:36,41.65035,-70.27695,0.1,92.0,173.0,KATAMA,IMO8213237,WBP4751,1012,moored,71.63,12.2,3.8,
416464000,2017-01-01T00:01:25,42.33633,-70.18567,7.9,-134.6,266.0,YM UNICORN,IMO9462732,BLHI,1004,under way using engine,333.2,42.8,13.0,
367375970,2017-01-01T00:13:50,44.12640,-68.87331,0.0,-56.5,22.0,CAPTAIN NEAL BURGESS,IMO9065235,WDE6115,1012,undefined,39.62,10.97,3.0,
367375970,2017-01-01T00:16:00,44.12641,-68.87331,0.0,-131.6,21.0,CAPTAIN NEAL BURGESS,IMO9065235,WDE6115,1012,undefined,39.62,10.97,3.0,
367368820,2017-01-01T00:05:39,43.64019,-70.28017,0.1,-176.9,341.0,ANDREW MCALLISTER,IMO9424950,WDE5582,1025,under way using engine,29.87,10.98,3.7,52
338075893,2017-01-01T00:18:00,43.54262,-70.09964,10.1,-125.0,511.0,PORTLAND PILOT,,,1005,undefined,18.32,5.5,,0
367368820,2017-01-01T00:07:50,43.64004,-70.28004,0.6,48.6,18.0,ANDREW MCALLISTER,IMO9424950,WDE5582,1025,under way using engine,29.87,10.98,3.7,52
338075893,2017-01-01T00:19:10,43.54340,-70.10272,6.5,-126.5,511.0,PORTLAND PILOT,,,1005,undefined,18.32,5.5,,0
367375970,2017-01-01T00:00:01,44.12641,-68.87331,0.0,12.9,22.0,CAPTAIN NEAL BURGESS,IMO9065235,WDE6115,1012,undefined,39.62,10.97,3.0,
366910960,2017-01-01T00:11:39,43.93861,-69.10994,8.7,76.5,79.0,TASMAN SEA,IMO7617151,WDB5559,1025,under way using engine,37.65,10.37,4.7,
366910960,2017-01-01T00:16:18,43.94133,-69.09503,8.6,77.9,81.0,TASMAN SEA,IMO7617151,WDB5559,1025,under way using engine,37.65,10.37,4.7,
367403140,2017-01-01T00:01:17,44.11112,-69.10345,0.0,-81.3,511.0,CAPT RAY O'NEAL,,WDE8238,1024,under way using engine,17.74,6.3,,0
477654600,2017-01-01T00:01:15,43.64069,-70.27846,0.0,-157.8,255.0,PILATUS VENTURE,IMO9693214,VROA8,1004,under way using engine,199.9,,,
366910960,2017-01-01T00:08:09,43.93662,-69.12128,8.6,76.7,79.0,TASMAN SEA,IMO7617151,WDB5559,1025,under way using engine,37.65,10.37,4.7,
477654600,2017-01-01T00:11:25,43.63876,-70.27808,0.5,-127.9,22.0,PILATUS VENTURE,IMO9693214,VROA8,1004,under way using engine,199.9,,,
477654600,2017-01-01T00:19:24,43.64204,-70.26825,5.2,86.0,84.0,PILATUS VENTURE,IMO9693214,VROA8,1004,under way using engine,199.9,,,
